For Entry In,Area,Name of School,PAN,Total Offered,Breakdown
2010,North,The Coleshill School - A Maths and Computing College,180,118,All applicants offered including ?unplaced? children
2010,North,Kingsbury School A Specialist Science and Mathematics College,126,106,All applicants offered including ?unplaced? children
2010,North,The Polesworth School - A Specialist Language  College,224,224,"All on time criteria 2, 3 &4. Plus criteria 5 up to a distance of 2.635 miles"
2010,North,Queen Elizabeth School and Sports College,163,120,All applicants offered including ?unplaced? children
2010,Nun & Bed,Alderman Smith School. A Specialist Sports College,240,195,All applicants offered including ?unplaced? children
2010,Nun & Bed,Ash Green School and Arts College,170,154,All applicants offered including ?unplaced? children
2010,Nun & Bed, Etone Technology Language Vocational College,150,150,All on time criteria 2 & 3. Plus criteria 4 up to a distance of 1.51 miles
2010,Nun & Bed,The George Eliot School,190,122,All applicants offered including ?unplaced? children
2010,Nun & Bed,Hartshill School,210,210,All on time applicants. Plus all late criteria 2 and some late criteria 3 up to a distance of 0.863 miles.
2010,Nun & Bed,Higham Lane School A Business and Enterprise College,237,237,"All on time criteria 1, 2, 3 & 4. Plus criteria 5 up to a distance of 1.806 miles"
2010,Nun & Bed,Manor Park Community School and Specialist Arts College,150,50,All applicants offered including ?unplaced? children
2010,Nun & Bed,Nicholas Chamberlaine Technology College,300,246,All applicants offered including ?unplaced? children
2010,Nun & Bed,St. Thomas More Catholic School and Technology College,156,156,Please refer to school for breakdown of offers made
2010,East,Ashlawn School (Non-Selective),226,226,"All on time criteria 2, 3 & 4. Plus criteria 5 up to a distance of 1.369 miles"
2010,East,The Avon Valley School and Performing Arts College,220,220,All on time criteria 1 & 2. Plus criteria 3 up to a distance of 4.127 miles.
2010,East,Bilton School a Maths and Computing College,285,210,All applicants offered including ?unplaced? children
2010,East,Harris School,182,182,Please refer to school for breakdown of offers made
2010,Central,Aylesford School A Specialist Language and Music College,206,166,All applicants offered including ?unplaced? children
2010,Central,Campion School,155,103,All applicants offered including ?unplaced? children
2010,Central,Kenilworth School and Sports College,270,270,"All on time criteria 2, 3 & 4. Plus criteria 5 up to a distance of 3.433 miles"
2010,Central,Myton School. A Specialist Science College and Training School,266,291,"All on time criteria 2, 3 & 4.  "
2010,Central,North Leamington School,240,217,All applicants offered including ?unplaced? children
2010,Central,Southam College,210,210,"All on time criteria 2, 3 & 4. Plus criteria 5 up to a distance of 5.652 miles"
2010,Central, The Trinity Catholic Technology College. A Specialist Arts and Technology College,210,183,All applicants offered.
2010,South,Alcester High School Technology College,174,174,All on time applicants. Plus late criteria 2 & 3.
2010,South,Henley-in-Arden High School ,123,128,"All on time criteria 1, 2 & 3."
2010,South,Kineton High School A Specialist Sports College,185,177,All applicants offered including ?unplaced? children
2010,South,Shipston High School A Specialist Technology College,77,102,All applicants offered.
2010,South,St. Benedict's Catholic High School,106,106,Please refer to school for breakdown of offers made
2010,South,Stratford-Upon-Avon High School A Maths and Computing Specialist School,265,265,"All on time 2, 3 & 4."
2010,South,Studley High School. Humanities and Music College,150,150,All applicants offered including ?unplaced? children
2010,Nun & Bed,Abbey C. of E. Infant School,60,52,Offers made to all applicants including those children unplaced.
2010,Nun & Bed,"All Saints C. of E. (Aided) Infant School, Bedworth",30,30,Places Allocated According to Schools Criteria. Contact School for Details.
2010,Nun & Bed,"All Saints C. of E. (Controlled) Primary School, Nuneaton",30,30,Offers made to all applicants including those children unplaced.
2010,Nun & Bed,Arden Forest (Community) Infant School,60,57,Offers made to all applicants including those children unplaced.
2010,Nun & Bed,Camp Hill (Community) Primary & Early Years Centre,45,45,Offers made to all applicants.
2010,Nun & Bed,Canon Evans C. of E. (Aided) Infant School,80,80,Places Allocated According to Schools Criteria. Contact School for Details.
2010,Nun & Bed,Chilvers Coton (Community) Infant School,75,39,Offers made to all applicants including those children unplaced.
2010,Nun & Bed,Exhall Cedars (Community) Infant School and Nursery,56,56,"Offers made to all on time criteria 2, 3, 4, 5 and 7 to a distance of 1.051 miles."
2010,Nun & Bed,Galley Common (Community) Infant School,45,50,"Offers made to all on time criteria 2, 3, 4, 5, 6 and 7 to a distance of 0.840 miles."
2010,Nun & Bed,Glendale (Community) Infant School ,75,75,"Offers made to all on time criteria 2, 3, 4, 5 and 7 to a distance of 1.237 miles."
2010,Nun & Bed,Goodyers End (Community) Primary School,60,51,Offers made to all applicants including those children unplaced.
2010,Nun & Bed,Keresley Newland (Community) Primary School,30,28,Offers made to all applicants.
2010,Nun & Bed,Milby (Community) Primary School,60,60,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 2.365 miles."
2010,Nun & Bed,Nathaniel Newton (Community) Infant School,60,60,Offers made to all applicants.
2010,Nun & Bed,Newdigate (Community) Primary School,30,30,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 0.820 miles."
2010,Nun & Bed,Nursery Hill (Community) Primary School,25,21,Offers made to all applicants including those children unplaced.
2010,Nun & Bed,Our Lady of the Angels Catholic (Aided) Infant School,70,70,Places Allocated According to Schools Criteria. Contact School for Details.
2010,Nun & Bed,Park Lane (Community) Primary School,50,28,Offers made to all applicants including those children unplaced.
2010,Nun & Bed,Race Leys (Community) Infant School,70,63,Offers made to all applicants including those children unplaced.
2010,Nun & Bed,St Anne's Catholic (Aided) Primary School,29,20,Offers made to all applicants.
2010,Nun & Bed,St Francis Catholic (Aided) Primary School,30,30,Places Allocated According to Schools Criteria. Contact School for Details.
2010,Nun & Bed,St Michael's C. of E. (Aided) Primary School,30,28,Offers made to all applicants.
2010,Nun & Bed,St Nicolas C. of E. (Aided) Primary School,60,60,Places Allocated According to Schools Criteria. Contact School for Details.
2010,Nun & Bed,St Paul's C. of E. (Controlled) Primary School,60,60,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 0.280 miles."
2010,Nun & Bed,Stockingford (Community) Infant School,120,69,Offers made to all applicants including those children unplaced.
2010,Nun & Bed,Weddington (Community) Primary School,60,54,Offers made to all applicants including those children unplaced.
2010,Nun & Bed,Wembrook (Community) Primary School,80,80,"Offers made to all on time criteria 1, 2, 4, 5 and 7 to a distance of 0.584 miles."
2010,Nun & Bed,Wheelwright Lane (Community) Primary School,30,30,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 0.924 miles."
2010,Nun & Bed,Whitestone (Community) Infant School,90,90,"Offers made to all on time criteria 2, 3, 4, 5, 6 and 7 to a distance of 0.454 miles."
2010,Nun & Bed,Wolvey C. of E. (Controlled) Primary School,30,28,Offers made to all applicants.
2010,North,Arden Hill (Community) Infant School,60,47,Offers made to all applicants including those children unplaced.
2010,North,Austrey C. of E. (Controlled) Primary School,15,12,Offers made to all applicants.
2010,North,Birchwood (Community) Primary School,59,52,Offers made to all applicants.
2010,North,Bournebrook C. of E. (Controlled) Primary School,19,19,"Offers made to all on time criteria 2, 4, 5 and 7 to a distance of 1.984 miles."
2010,North,Coleshill C. of E. (Aided) Primary School,30,29,Offers made to all applicants.
2010,North,Curdworth  (Community) Primary School,17,15,Offers made to all applicants.
2010,North,Dordon (Community) Primary School,30,7,Offers made to all applicants.
2010,North,Gun Hill (Community) Infant and Nursery School,45,27,Offers made to all applicants.
2010,North,High Meadow (Community) Infant School,30,28,Offers made to all applicants.
2010,North,Hurley (Community) Primary School,25,12,Offers made to all applicants.
2010,North,Kingsbury (Community) Primary School,45,40,Offers made to all applicants.
2010,North,The Nethersoles C. of E. (Controlled) Primary School ,45,35,Offers made to all applicants.
2010,North,Newton Regis C. of E. (Controlled) Primary School,17,11,Offers made to all applicants.
2010,North,Racemeadow (Community) Primary School,60,28,Offers made to all applicants.
2010,North,Shustoke C. of E. (Controlled) Primary School,27,25,Offers made to all applicants.
2010,North,St Benedict's Catholic (Aided) Primary School,20,20,Places Allocated According to Schools Criteria. Contact School for Details.
2010,North,St Edward's Catholic (Aided) Primary School,30,28,Offers made to all applicants
2010,North,Warton Nethersoles C. of E. (Controlled) Primary School,22,10,Offers made to all applicants
2010,North,Water Orton (Community) Primary School,55,47,Offers made to all applicants
2010,North,Wood End (Community) Primary School,25,20,Offers made to all applicants
2010,North,Woodside C. of E. (Controlled) Primary School,40,26,Offers made to all applicants
2010,South,Acorns (Community) Primary School,10,9,Offers made to all applicants
2010,South,Alveston C. of E. (Controlled) Primary School,30,23,Offers made to all applicants including those children unplaced.
2010,South,Barford St. Peter's C. of E. (Aided) Primary School,20,20,Places Allocated According to Schools Criteria. Contact School direct for Details.
