For Entry In,Area,Name of School,PAN,Total Offered,Breakdown
2008,North,Arden Hill (Community) Infant School,60,39,All offered
2008,North,Austrey C of E (Controlled) Primary School,15,13,All offered
2008,North,Birchwood (Community) Primary School,59,52,All offered including unplaced applicants
2008,North,Bournebrook C of E (Controlled) Primary School,19,19,"All criteria 2, 4, 5 & 7 up to a distance of 1.683 miles"
2008,North,Coleshill C. of E. (Aided) Primary School,30,17,All offered
2008,North,Curdworth  (Community) Primary School,17,10,All offered
2008,North,Dordon (Community) Primary School,30,13,All offered
2008,North,Gun Hill (Community) Infant and Nursery School,45,32,All offered
2008,North,High Meadow (Community) Infant School,30,23,All offered
2008,North,Hurley (Community) Primary School,25,15,All offered
2008,North,Kingsbury (Community) Primary School,45,37,All offered including Unplaced Applicants
2008,North,The Nethersoles C. of E. (Controlled) Primary School ,45,45,"All criteria 2,4,5 & 7 up to a distance of 1.333 miles."
2008,North,Newton Regis C. of E. (Controlled) Primary School,17,12,All offered
2008,North,Racemeadow (Community) Primary School,60,30,All offered
2008,North,Shustoke C. of E. (Controlled) Primary School,27,24,All offered
2008,North,St Benedict's Catholic (Aided) Primary School,20,20,Places Allocated According to Schools Criteria. Contact School direct for details.
2008,North,St Edward's Catholic (Aided) Primary School,30,27,All offered
2008,North,Warton Nethersoles C. of E. (Controlled) Primary School,22,21,All offered
2008,North,Water Orton (Community) Primary School,55,51,All offered
2008,North,Wood End (Community) Primary School,25,18,All offered
2008,North,Woodside C. of E. (Controlled) Primary School,40,22,All offered
2008,Nun & Bed,Abbey C. of E. Infant School,60,41,All Offered
2008,Nun & Bed,"All Saints C. of E. (Aided) Infant School, Bedworth",30,30,Places Allocated According to Schools Criteria. Contact School for Details 
2008,Nun & Bed,"All Saints C. of E. (Controlled) Primary School, Nuneaton ",30,3,All Offered
2008,Nun & Bed,Arden Forest (Community) Infant School,60,59,All Offered including unplaced children
2008,Nun & Bed,Camp Hill (Community) Primary & Early Years Cente,45,21,All Offered
2008,Nun & Bed,Canon Evans C. of E. (Aided) Infant School,80,80,Places Allocated According to Schools Criteria. Contact School for Details.
2008,Nun & Bed,Chilvers Coton (Community) Infant School,75,38,All Offered including unplaced children
2008,Nun & Bed,Exhall Cedars (Community) Infant School and Nursery,56,33,All Offered including unplaced children
2008,Nun & Bed,Galley Common (Community) Infant School,45,34,All Offered
2008,Nun & Bed,Glendale (Community) Infant School ,100,72,All Offered including unplaced children
2008,Nun & Bed,Goodyers End (Community) Primary School,60,41,All Offered including unplaced children
2008,Nun & Bed,Keresley Newland (Community) Primary School,30,29,All Offered including unplaced children
2008,Nun & Bed,Milby (Community) Primary School,60,60,"All On Time Criteria 1, 2, 4, 5 & 7 up to a distance of 3.279 miles"
2008,Nun & Bed,Nathaniel Newton (Community) Infant School,60,57,All Offered
2008,Nun & Bed,Newdigate (Community) Primary School,30,30,All On Time applicants & Late Criteria 4 up to a distance of 0.125 miles
2008,Nun & Bed,Nursery Hill (Community) Primary School,25,14,All Offered
2008,Nun & Bed,Our Lady of the Angels Catholic (Aided) Infant School,70,70,Places Allocated According to Schools Criteria. Contact School for Details.
2008,Nun & Bed,Park Lane (Community) Primary School,50,23,All Offered
2008,Nun & Bed,Race Leys (Community) Infant School,70,70,All Offered
2008,Nun & Bed,St Anne's Catholic (Aided) Primary School,29,24,All Offered
2008,Nun & Bed,St Francis Catholic (Aided) Primary School,30,27,All Offered
2008,Nun & Bed,St Michael's C. of E. (Aided) Primary School,45,20,All Offered
2008,Nun & Bed,St Nicolas C. of E. (Aided) Primary School,60,60,Places Allocated According to Schools Criteria. Contact School for Details.
2008,Nun & Bed,St Paul's C. of E. (Controlled) Primary School,60,60,"All On Time Criteria 2, 3, 4, 5 & 7 up to a distance of 0.425 miles"
2008,Nun & Bed,Stockingford (Community) Infant School,120,71,All Offered including unplaced children
2008,Nun & Bed,Weddington (Community) Primary School,60,53,All Offered
2008,Nun & Bed,Wembrook (Community) Primary School,80,72,All Offered including unplaced children
2008,Nun & Bed,Wheelwright Lane (Community) Primary School,30,30,All On Time applicants and Late criteria 4 & 5 up to a distance of 5.87 miles
2008,Nun & Bed,Whitestone (Community) Infant School,90,90,All Offered
2008,Nun & Bed,Wolvey C. of E. (Controlled) Primary School,30,17,All Offered
2008,East,Abbots Farm (Community) Infant School,60,32,All Offered
2008,East,Bawnmore (Community) Infant School,60,60,"All On Time Criteria 2, 3, 4, 5, 6 & 7 up to distance of 3.124 miles"
2008,East,Bilton (Community) Infant School,57,55,All Offered including Unplaced Applicants
2008,East,Binley Woods (Community) Primary School,30,30,"All On Time Criteria 2, 4 & 5 up to distance of 1.216 miles"
2008,East,Boughton Leigh (Community) Infant School,80,26,All Offered including Unplaced Applicants 
2008,East,Brownsover (Community) Infant School,60,50,All Offered
2008,East,Cawston Grange (Community) Primary School,30,30,All On Time Criteria 2 & 4 up to distance of 0.395 miles
2008,East,Clifton-upon-Dunsmore C. of E. (Controlled) Primary School,30,30,"All On Time Criteria 2, 4, 5 & 7 up to distance of 0.871 miles"
2008,East,Dunchurch Infant School (Foundation),56,55,All Offered
2008,East,Eastlands (Community) Primary School,30,30,All Offered including Unplaced Applicants
2008,East,English Martyrs Catholic (Aided) Primary School,30,29,All Offered
2008,East,Henry Hinde (Community) Infant School,60,51,All Offered including Unplaced Applicants
2008,East,Hillmorton (Community) Primary School,30,25,All Offered
2008,East,Knightlow C. of E. (Aided) Primary School,30,26,All Offered
2008,East,Leamington Hastings C. ofE. (Controlled) Infant School,18,16,All Offered
2008,East,Long Lawford (Community) Primary School,40,35,All Offered including Unplaced Applicants
